,ID,Bid,Choice
0,1,100,0
1,2,5,0
2,3,150,0
3,4,1,1
4,5,5,1
5,6,150,0
6,7,150,0
7,8,100,1
8,9,1,1
9,10,30,1
10,11,30,0
11,12,50,1
12,13,100,0
13,14,1,1
14,15,100,0
15,16,50,1
16,17,1,1
17,18,20,0
18,19,150,0
19,20,50,1
20,21,100,1
21,22,10,1
22,23,20,1
23,24,1,1
24,25,1,1
25,26,5,1
26,27,200,0
27,28,20,1
28,29,150,0
29,30,10,1
30,31,5,1
31,32,10,1
32,33,100,0
33,34,100,1
34,35,1,1
35,36,50,1
36,37,1,1
37,38,20,1
38,39,150,1
39,40,1,1
40,41,10,1
41,42,20,0
42,43,20,1
43,44,20,1
44,45,2,1
45,46,200,1
46,47,200,0
47,48,5,1
48,49,200,0
49,50,5,1
50,51,150,0
51,52,50,1
52,53,20,1
53,54,30,1
54,55,20,1
55,56,100,0
56,57,50,0
57,58,200,0
58,59,10,1
59,60,150,0
60,61,150,0
61,62,200,0
62,63,5,1
63,64,1,1
64,65,1,1
65,66,30,1
66,67,10,1
67,68,50,0
68,69,150,0
69,70,20,1
70,71,150,1
71,72,5,1
72,73,1,1
73,74,200,0
74,75,10,0
75,76,10,1
76,77,20,1
77,78,5,1
78,79,30,1
79,80,30,0
80,81,20,0
81,82,50,0
82,83,100,1
83,84,50,0
84,85,10,1
85,86,20,1
86,87,30,1
87,88,30,1
88,89,200,0
89,90,200,1
90,91,30,1
91,92,150,0
92,93,30,1
93,94,150,0
94,95,1,1
95,96,1,0
96,97,100,1
97,98,30,0
98,99,20,1
99,100,20,1
100,101,5,1
101,102,20,1
102,103,100,1
103,104,200,0
104,105,5,1
105,106,5,1
106,107,100,1
107,108,10,1
108,109,5,1
109,110,10,1
110,111,200,0
111,112,1,1
112,113,10,1
113,114,200,0
114,115,100,1
115,116,50,1
116,117,1,1
117,118,200,0
118,119,200,0
119,120,100,1
120,121,5,1
121,122,10,1
122,123,10,1
123,124,1,1
124,125,5,1
125,126,10,1
126,127,5,1
127,128,1,0
128,129,20,1
129,130,10,1
130,131,10,1
131,132,30,1
132,133,10,1
133,134,100,0
134,135,200,0
135,136,20,1
136,137,100,1
137,138,50,1
138,139,150,0
139,140,50,0
140,141,50,0
141,142,200,0
142,143,30,1
143,144,1,1
144,145,10,1
145,146,5,1
146,147,50,0
147,148,30,0
148,149,5,0
149,150,100,0
150,151,30,1
151,152,200,1
152,153,100,0
153,154,200,0
154,155,5,1
155,156,200,1
156,157,100,0
157,158,150,1
158,159,1,1
159,160,150,0
160,161,30,0
161,162,30,0
162,163,200,0
163,164,150,0
164,165,50,0
165,166,10,1
166,167,30,1
167,168,150,0
168,169,200,0
169,170,100,1
170,171,100,0
171,172,50,0
172,173,50,0
173,174,5,1
174,175,50,1
175,176,10,1
176,177,150,0
177,178,1,1
178,179,1,1
179,180,5,1
180,181,30,1
181,182,30,0
182,183,20,1
183,184,50,1
184,185,100,1
185,186,5,1
186,187,1,1
187,188,20,1
188,189,20,0
189,190,50,0
190,191,150,0
191,192,50,0
192,193,5,1
193,194,10,1
194,195,50,0
195,196,100,1
196,197,20,1
197,198,150,0
198,199,20,0
199,200,20,1
200,201,30,1
201,202,1,1
202,203,30,1
203,204,20,1
